---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| localite                                                               | departement                                                          | region                                                                  |
| "Libourne"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Gironde"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Pessac"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Gironde"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Frontignan"^^<http://www.w3.org/2001/XMLSchema#string>                | "Hérault"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Languedoc-Roussillon"^^<http://www.w3.org/2001/XMLSchema#string>       |
| "Lunel"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Hérault"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Languedoc-Roussillon"^^<http://www.w3.org/2001/XMLSchema#string>       |
| "Sète"^^<http://www.w3.org/2001/XMLSchema#string>                      | "Hérault"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Languedoc-Roussillon"^^<http://www.w3.org/2001/XMLSchema#string>       |
| "Rennes"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Ille-et-Vilaine"^^<http://www.w3.org/2001/XMLSchema#string>         | "Bretagne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Échirolles"^^<http://www.w3.org/2001/XMLSchema#string>                | "Isère"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Dax"^^<http://www.w3.org/2001/XMLSchema#string>                       | "Landes"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Mont-de-Marsan"^^<http://www.w3.org/2001/XMLSchema#string>            | "Landes"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Saint-Étienne"^^<http://www.w3.org/2001/XMLSchema#string>             | "Loire"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Saint-Herblain"^^<http://www.w3.org/2001/XMLSchema#string>            | "Loire-Atlantique"^^<http://www.w3.org/2001/XMLSchema#string>        | "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Fleury-les-Aubrais"^^<http://www.w3.org/2001/XMLSchema#string>        | "Loiret"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Centre"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "Agen"^^<http://www.w3.org/2001/XMLSchema#string>                      | "Lot-et-Garonne"^^<http://www.w3.org/2001/XMLSchema#string>          | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Saint-Lô"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Manche"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Châlons-en-Champagne"^^<http://www.w3.org/2001/XMLSchema#string>      | "Marne"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          |
