-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| natalite                                         | nbHopitaux                                    | impMoyen                                            | impMoyenReg                   | departement                                            | region                                                                  |
| "9.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "226"^^<http://www.w3.org/2001/XMLSchema#int> | "10569"^^<http://www.w3.org/2001/XMLSchema#decimal> | 5514.375                      | "Vienne"^^<http://www.w3.org/2001/XMLSchema#string>    | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "10.5"^^<http://www.w3.org/2001/XMLSchema#float> | "204"^^<http://www.w3.org/2001/XMLSchema#int> | "6031"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5514.375                      | "Charente"^^<http://www.w3.org/2001/XMLSchema#string>  | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "5144"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "5.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "447"^^<http://www.w3.org/2001/XMLSchema#int> | "6214"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "5756"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "5071"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "7266"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "5579"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "6530"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "6243"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "537"^^<http://www.w3.org/2001/XMLSchema#int> | "7310"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "5.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "447"^^<http://www.w3.org/2001/XMLSchema#int> | "5506"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "5.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "447"^^<http://www.w3.org/2001/XMLSchema#int> | "6421"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4694.416058394160583941605839 | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "7.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "336"^^<http://www.w3.org/2001/XMLSchema#int> | "8531"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5436.142857142857142857142857 | "Bas-Rhin"^^<http://www.w3.org/2001/XMLSchema#string>  | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "7.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "222"^^<http://www.w3.org/2001/XMLSchema#int> | "5814"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5436.142857142857142857142857 | "Haut-Rhin"^^<http://www.w3.org/2001/XMLSchema#string> | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "7.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "336"^^<http://www.w3.org/2001/XMLSchema#int> | "5561"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5436.142857142857142857142857 | "Bas-Rhin"^^<http://www.w3.org/2001/XMLSchema#string>  | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "8.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "137"^^<http://www.w3.org/2001/XMLSchema#int> | "5119"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4695.846153846153846153846153 | "Mayenne"^^<http://www.w3.org/2001/XMLSchema#string>   | "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           |
