-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| departement                                            | nbHopitaux                                     | nbPharmacies                                    | popMoyenne                                         | natalite                                         | region                                                                  |
| "Aube"^^<http://www.w3.org/2001/XMLSchema#string>      | "128"^^<http://www.w3.org/2001/XMLSchema#int>  | "1506"^^<http://www.w3.org/2001/XMLSchema#int>  | "302.3"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.7"^^<http://www.w3.org/2001/XMLSchema#float>  | "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          |
| "Creuse"^^<http://www.w3.org/2001/XMLSchema#string>    | "80"^^<http://www.w3.org/2001/XMLSchema#int>   | "1011"^^<http://www.w3.org/2001/XMLSchema#int>  | "123.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "15.0"^^<http://www.w3.org/2001/XMLSchema#float> | "Limousin"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Moselle"^^<http://www.w3.org/2001/XMLSchema#string>   | "330"^^<http://www.w3.org/2001/XMLSchema#int>  | "4125"^^<http://www.w3.org/2001/XMLSchema#int>  | "1043.6"^^<http://www.w3.org/2001/XMLSchema#float> | "8.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Vosges"^^<http://www.w3.org/2001/XMLSchema#string>    | "170"^^<http://www.w3.org/2001/XMLSchema#int>  | "2099"^^<http://www.w3.org/2001/XMLSchema#int>  | "380.2"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.2"^^<http://www.w3.org/2001/XMLSchema#float> | "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Meuse"^^<http://www.w3.org/2001/XMLSchema#string>     | "84"^^<http://www.w3.org/2001/XMLSchema#int>   | "1360"^^<http://www.w3.org/2001/XMLSchema#int>  | "194.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.1"^^<http://www.w3.org/2001/XMLSchema#float> | "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Charente"^^<http://www.w3.org/2001/XMLSchema#string>  | "204"^^<http://www.w3.org/2001/XMLSchema#int>  | "1831"^^<http://www.w3.org/2001/XMLSchema#int>  | "351.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.5"^^<http://www.w3.org/2001/XMLSchema#float> | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Vienne"^^<http://www.w3.org/2001/XMLSchema#string>    | "226"^^<http://www.w3.org/2001/XMLSchema#int>  | "2377"^^<http://www.w3.org/2001/XMLSchema#int>  | "425.2"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Paris"^^<http://www.w3.org/2001/XMLSchema#string>     | "1205"^^<http://www.w3.org/2001/XMLSchema#int> | "23835"^^<http://www.w3.org/2001/XMLSchema#int> | "2222.7"^^<http://www.w3.org/2001/XMLSchema#float> | "6.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>   | "447"^^<http://www.w3.org/2001/XMLSchema#int>  | "2850"^^<http://www.w3.org/2001/XMLSchema#int>  | "1206.9"^^<http://www.w3.org/2001/XMLSchema#float> | "5.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>  | "537"^^<http://www.w3.org/2001/XMLSchema#int>  | "4203"^^<http://www.w3.org/2001/XMLSchema#int>  | "1406.8"^^<http://www.w3.org/2001/XMLSchema#float> | "6.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Haut-Rhin"^^<http://www.w3.org/2001/XMLSchema#string> | "222"^^<http://www.w3.org/2001/XMLSchema#int>  | "3933"^^<http://www.w3.org/2001/XMLSchema#int>  | "747.3"^^<http://www.w3.org/2001/XMLSchema#float>  | "7.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "Bas-Rhin"^^<http://www.w3.org/2001/XMLSchema#string>  | "336"^^<http://www.w3.org/2001/XMLSchema#int>  | "5367"^^<http://www.w3.org/2001/XMLSchema#int>  | "1092.7"^^<http://www.w3.org/2001/XMLSchema#float> | "7.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "Mayenne"^^<http://www.w3.org/2001/XMLSchema#string>   | "137"^^<http://www.w3.org/2001/XMLSchema#int>  | "1737"^^<http://www.w3.org/2001/XMLSchema#int>  | "304.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "8.8"^^<http://www.w3.org/2001/XMLSchema#float>  | "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Sarthe"^^<http://www.w3.org/2001/XMLSchema#string>    | "237"^^<http://www.w3.org/2001/XMLSchema#int>  | "2895"^^<http://www.w3.org/2001/XMLSchema#int>  | "560.3"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Manche"^^<http://www.w3.org/2001/XMLSchema#string>    | "213"^^<http://www.w3.org/2001/XMLSchema#int>  | "2140"^^<http://www.w3.org/2001/XMLSchema#int>  | "497.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.1"^^<http://www.w3.org/2001/XMLSchema#float> | "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Orne"^^<http://www.w3.org/2001/XMLSchema#string>      | "134"^^<http://www.w3.org/2001/XMLSchema#int>  | "1971"^^<http://www.w3.org/2001/XMLSchema#int>  | "292.3"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.9"^^<http://www.w3.org/2001/XMLSchema#float> | "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Ain"^^<http://www.w3.org/2001/XMLSchema#string>       | "202"^^<http://www.w3.org/2001/XMLSchema#int>  | "2172"^^<http://www.w3.org/2001/XMLSchema#int>  | "585.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "7.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Savoie"^^<http://www.w3.org/2001/XMLSchema#string>    | "214"^^<http://www.w3.org/2001/XMLSchema#int>  | "2198"^^<http://www.w3.org/2001/XMLSchema#int>  | "409.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "7.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Loire"^^<http://www.w3.org/2001/XMLSchema#string>     | "336"^^<http://www.w3.org/2001/XMLSchema#int>  | "4107"^^<http://www.w3.org/2001/XMLSchema#int>  | "744.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Var"^^<http://www.w3.org/2001/XMLSchema#string>       | "534"^^<http://www.w3.org/2001/XMLSchema#int>  | "2812"^^<http://www.w3.org/2001/XMLSchema#int>  | "1004.4"^^<http://www.w3.org/2001/XMLSchema#float> | "10.1"^^<http://www.w3.org/2001/XMLSchema#float> | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Vaucluse"^^<http://www.w3.org/2001/XMLSchema#string>  | "294"^^<http://www.w3.org/2001/XMLSchema#int>  | "2394"^^<http://www.w3.org/2001/XMLSchema#int>  | "539.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
